run_id,task_id,family,split,policy,seed,status,success,hidden_passed,hidden_total,accounted_cost_usd,measured_inference_cost_usd,unconfirmed_reserve_usd,tokens,latency_s,tool_calls,attempts,decisions,provider_retries,escalations,regressions,unnecessary_edits_proxy,verification_calls,verification_elapsed_s,caught_supplemental_failures,success_after_supplemental_failure,supplemental_grader_disagreement,supplemental_grader_disagreement_direction,learned_decisions,fallback_decisions,stop_decisions,stop_fallback_decisions,stop_constraint_decisions,verify_decisions,non_stop_non_verify_decisions,non_stop_non_verify_learned_decisions,non_stop_non_verify_fallback_decisions,non_stop_non_verify_provider_retry_decisions,non_stop_non_verify_other_decisions
50350100b6d34616b69a846e8194ca68,tabular_join-repair-3,tabular_join,test,cheap_only,17,completed,1,4,4,0.000117,0.000117,0.0,1480,8.20267,4,1,3,0,0,0,1,1,0.400993,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
5056054ab52f4510a2ca2de8732bac00,graph_dependencies-repair-2,graph_dependencies,test,adaptive,17,completed,1,5,5,0.000113,0.000113,0.0,1353,15.071202,4,1,3,0,0,0,1,1,0.456529,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
59ef726bf6544e5e8dd02009d07b771f,edit_distance-repair-1,edit_distance,test,cheap_only,17,completed,0,5,6,0.000141,0.000141,0.0,1723,6.791084,4,1,3,0,0,0,1,1,0.401076,0,False,True,missed_failure,0,0,1,0,1,1,1,0,0,0,1
5af750cbe0174e579d39bd899e539902,expression_engine-repair-1,expression_engine,test,static_router,17,completed,1,6,6,7.4e-05,7.4e-05,0.0,1184,4.295968,4,1,3,0,0,0,1,1,0.40177,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
5c95e5e74fc24d6786732c89fde88e49,geospatial-repair-3,geospatial,validation,supervised_cost,17,completed,1,5,5,0.000143,0.000143,0.0,1439,18.206709,4,1,3,0,0,0,1,1,0.503113,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
5ca1e27d218b42f9826f9927e542fc3c,external_boltons_math-repair-2,external_boltons_math,external,cheap_only,17,completed,1,6,6,0.000334,0.000334,0.0,4515,22.230327,4,1,3,0,0,0,1,1,0.452025,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
5e52770b74734815bb32ce6990317db6,tabular_join-repair-2,tabular_join,test,strong_only,17,completed,1,4,4,0.000134,0.000134,0.0,1429,22.997951,4,1,3,0,0,0,1,1,0.451743,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
63faa953c897445cb9e4bc00a708b0be,graph_dependencies-repair-1,graph_dependencies,test,supervised_cost,17,completed,1,5,5,9.3e-05,9.3e-05,0.0,1231,8.95055,4,1,3,0,0,0,0,1,0.45448,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
653d5f9d3e7443368db1f6052add01f5,apportionment-repair-1,apportionment,test,strong_only,17,completed,1,5,5,0.000125,0.000125,0.0,1401,24.877946,4,1,3,0,0,0,0,1,0.503712,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
664808859b464658a6148aed1dad6b27,interpolation-repair-2,interpolation,test,adaptive,17,completed,1,5,5,0.000157,0.000157,0.0,1520,17.649611,4,1,3,0,0,0,1,1,0.453124,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
68642f0fb9d94c7c856ce64a968ca1de,expression_engine-repair-3,expression_engine,test,escalate_on_failure,17,completed,1,6,6,9.2e-05,9.2e-05,0.0,1318,5.47868,4,1,3,0,0,0,1,1,0.451962,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
687e4d9a2df8411da56f0a21a3f427ac,external_boltons_math-repair-3,external_boltons_math,external,static_router,17,completed,1,6,6,0.000505,0.000505,0.0,7785,27.523595,5,2,4,0,0,0,0,1,0.503392,0,False,False,,0,0,1,0,1,1,2,0,0,0,2
690560e49a3e4a37b52a6b2680584c48,edit_distance-repair-3,edit_distance,test,supervised_cost,17,completed,1,6,6,0.000175,0.00017500000000000003,0.0,2495,23.158801,5,2,4,0,0,0,0,1,0.502478,0,False,False,,2,1,1,1,0,1,2,2,0,0,0
6a2a337beb1d42d2829857eb593268ca,interpolation-repair-1,interpolation,test,escalate_on_failure,17,completed,1,5,5,8.5e-05,8.5e-05,0.0,1191,5.283268,4,1,3,0,0,0,1,1,0.453333,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
