family,seed,policy,related_tasks,off_solved,on_solved,verify_minus_off_success_fraction,off_mean_cost_usd,on_mean_cost_usd,verify_minus_off_mean_cost_usd
graph_dependencies,31,adaptive,3,3,3,0.0,9.866666666666666e-05,8.6e-05,-1.2666666666666658e-05
graph_dependencies,31,cheap_only,3,3,3,0.0,9.266666666666666e-05,8.9e-05,-3.66666666666667e-06
graph_dependencies,31,escalate_on_failure,3,3,3,0.0,9.166666666666667e-05,8.733333333333333e-05,-4.333333333333335e-06
graph_dependencies,31,static_router,3,3,3,0.0,8.666666666666667e-05,9.1e-05,4.333333333333335e-06
graph_dependencies,31,strong_only,3,3,3,0.0,0.00010833333333333333,8.866666666666666e-05,-1.9666666666666666e-05
graph_dependencies,31,supervised_cost,3,3,3,0.0,9.533333333333334e-05,8.633333333333334e-05,-9.000000000000002e-06
graph_dependencies,47,adaptive,3,3,3,0.0,8.766666666666667e-05,0.0005013333333333333,0.0004136666666666667
graph_dependencies,47,cheap_only,3,3,3,0.0,8.733333333333333e-05,8.6e-05,-1.3333333333333296e-06
graph_dependencies,47,escalate_on_failure,3,3,3,0.0,8.6e-05,0.000107,2.0999999999999995e-05
graph_dependencies,47,static_router,3,3,3,0.0,8.666666666666667e-05,8.6e-05,-6.666666666666648e-07
graph_dependencies,47,strong_only,3,3,3,0.0,8.499999999999999e-05,0.0005136666666666667,0.0004286666666666667
graph_dependencies,47,supervised_cost,3,3,3,0.0,8.466666666666666e-05,9.433333333333333e-05,9.666666666666667e-06
graph_dependencies,73,adaptive,3,3,3,0.0,0.0005153333333333334,9.6e-05,-0.00041933333333333335
graph_dependencies,73,cheap_only,3,3,3,0.0,8.766666666666667e-05,8.466666666666667e-05,-2.9999999999999916e-06
graph_dependencies,73,escalate_on_failure,3,3,3,0.0,8.333333333333333e-05,8.9e-05,5.666666666666664e-06
graph_dependencies,73,static_router,3,3,3,0.0,8.900000000000001e-05,8.566666666666667e-05,-3.3333333333333376e-06
graph_dependencies,73,strong_only,3,3,3,0.0,9.6e-05,8.6e-05,-9.999999999999999e-06
graph_dependencies,73,supervised_cost,3,3,3,0.0,9.5e-05,8.666666666666667e-05,-8.333333333333337e-06
graph_dependencies,101,adaptive,3,3,3,0.0,8.566666666666667e-05,0.000101,1.533333333333333e-05
graph_dependencies,101,cheap_only,3,3,3,0.0,8.933333333333333e-05,8.633333333333334e-05,-2.9999999999999916e-06
graph_dependencies,101,escalate_on_failure,3,3,3,0.0,8.533333333333334e-05,8.633333333333334e-05,9.999999999999972e-07
graph_dependencies,101,static_router,3,3,3,0.0,8.433333333333334e-05,8.433333333333334e-05,0.0
graph_dependencies,101,strong_only,3,3,3,0.0,0.0005003333333333333,9.766666666666666e-05,-0.0004026666666666666
graph_dependencies,101,supervised_cost,3,3,3,0.0,9.7e-05,9.466666666666666e-05,-2.3333333333333404e-06
interpolation,31,adaptive,3,1,1,0.0,0.0005406666666666667,0.00013166666666666665,-0.0004090000000000001
interpolation,31,cheap_only,3,2,2,0.0,0.00010333333333333333,0.00048333333333333334,0.00038
interpolation,31,escalate_on_failure,3,2,3,0.3333333333333333,0.00011366666666666667,0.00010766666666666666,-6.00000000000001e-06
interpolation,31,static_router,3,3,2,-0.3333333333333333,0.000108,0.00011266666666666666,4.666666666666667e-06
interpolation,31,strong_only,3,1,3,0.6666666666666666,0.00012066666666666667,0.00011566666666666667,-4.9999999999999996e-06
